3;1;1;1;"EAR-1-107-s	Fizyka 1";60;7;540.0
3;1;1;2;Matematyka 1 (algebra liniowa);45;6;405.0
3;1;1;3;Matematyka 2 (analiza matematyczna);60;4;540.0
3;1;1;4;Przedmiot humanistyczny 1;30;2;270.0
3;1;1;5;Podstawy finansów i inwestowania w bizensie;45;3;405.0
3;1;1;6;Wprowadzenie do automatyki i robotyki;30;3;270.0
3;1;1;7;Wstêp do informatyki;45;3;405.0
3;1;1;8;Wiedza o nauce;30;2;270.0
3;1;1;9;Religie œwiata;28;5;252.0
3;1;1;10;Podstawy negocjacji;28;5;252.0
3;1;2;1;Fizyka 2;60;6;540.0
3;1;2;2;Matematyka 3 (analiza matematyczna+liniowe równania ró¿niczkowe);60;7;540.0
3;1;2;3;Rachunek prawodopodobieñstwa;60;6;540.0
3;1;2;4;Informatyka 1;60;4;540.0
3;1;2;5;Informatyczne narzêdzia pracy grupowej;45;4;405.0
3;1;2;6;Zapis i podstawy konstrukcji;45;3;405.0
3;1;3;1;Metody Numeryczne;56;5;504.0
3;1;3;2;Informatyka 2;28;3;252.0
3;1;3;3;Modelowanie systemów dynamicznych;56;4;504.0
3;1;3;4;Procesy stochastyczne;42;3;378.0
3;1;3;5;Teoria Automatów;56;4;504.0
3;1;3;6;Podstawy Automatyki 1;28;2;252.0
3;1;3;7;Mechanika;42;3;378.0
3;1;3;8;Elektrotechnika z napêdami elektrycznymi 1;42;3;378.0
3;1;3;9;Elektronika w automatyce;28;2;252.0
3;1;4;1;Systemy wizyjne;56;3;504.0
3;1;4;2;Podstawy automatyki 2;42;4;378.0
3;1;4;3;Badania operacyjne;42;3;378.0
3;1;4;4;Elektrotechnika z napêdami elektrycznymi 2;56;6;504.0
3;1;4;5;Automatyka Pojazdowa;56;4;504.0
3;1;4;6;Aparatura automatyzacji;56;6;504.0
3;1;4;7;Elektronika cyfrowa i zastosowania;70;4;630.0
3;1;4;8;Technika mikroprocesorowa;70;4;630.0
3;1;5;1;Sieci komputerowe;56;3;504.0
3;1;5;2;Systemy pomiarowe;56;3;504.0
3;1;5;3;Teoria sterowania 1;56;5;504.0
3;1;5;4;Badania operacyjne i wspomaganie decyzji;70;5;630.0
3;1;5;5;Elektronika cyfrowa i zastosowania 2;28;4;252.0
3;1;5;6;Kinematyka i dynamika robotów;56;6;504.0
3;1;5;7;Metody i algorytmy optymalizacji;42;5;378.0
3;1;5;8;Matematyczne metody wspomagania decyzji;70;5;630.0
3;1;5;9;Technika mikroprocesorowa 2;28;4;252.0
3;1;5;10;Podstawy robotyki;56;6;504.0
3;1;5;11;Teoria optymalizacji;42;5;378.0
3;1;6;1;Symulacja i sterowanie proc.dyskretnych;56;3;504.0
3;1;6;2;Konstrukcja i programowanie robotów;56;3;504.0
3;1;6;3;Teoria sterowania 2;84;6;756.0
3;1;6;4;Komputerowe wspomagane projektowania systemów sterowania;42;2;378.0
3;1;6;5;Systemy rekonfigurowalne;56;3;504.0
3;1;6;6;Praktyka;120;4;1080.0
3;1;6;7;Metody i algorytmy optymalizacji;28;3;252.0
3;1;6;8;Teoria optymalizacji;28;3;252.0
3;1;7;1;Pracownia in¿ynierska dyplomowa;28;1;252.0
3;1;7;3;Sprzêt i oprogramowanie systemów sterowania;42;4;378.0
3;1;7;4;Sztuczna inteligencja i sensoryka;56;3;504.0
3;1;7;5;Podstawy u¿ytkowania systemów operacyjnych;42;3;378.0
3;1;7;6;Bazy danych i systemy zarz¹dzania bazami;42;4;378.0
3;1;7;7;Sterowniki logiczne i funkcyjne;56;3;504.0
3;1;7;8;Podstawy komputerowych systemów sterowania;56;3;504.0
3;1;7;9;Identyfikacja procesów technologicznych;56;2;504.0
3;1;7;10;Prototypowanie uk³adów elekronicznych;56;3;504.0
3;1;7;11;Systemy g³osowe;42;3;378.0

